127.0.0.1 - - [21/Feb/2022:11:59:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:47 +0530] "GET /project_3/ HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:47 +0530] "GET /project_3/css/BackGround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:47 +0530] "GET /project_3/image/Gold.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:49 +0530] "GET /project_3/image/fea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 500 3319
0:0:0:0:0:0:0:1 - - [21/Feb/2022:11:59:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:00:02 +0530] "GET /project_3/LoginCtl HTTP/1.1" 500 3319
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:41 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6437
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:47 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:47 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11219
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:50 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11394
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:01:57 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6437
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:02:00 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:02:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9580
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:03:37 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 14566
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:03:39 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:03:43 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 6455
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:04:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:04:48 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16613
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:04:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:04:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Feb/2022:12:04:50 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16613
