127.0.0.1 - - [09/Feb/2022:16:00:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:00:26 +0530] "GET /project_3/ HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:00:26 +0530] "GET /project_3/css/BackGround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:00:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3979
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:00:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:09:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:09:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:11:31 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16558
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:11:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:11:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:23:16 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 16798
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:23:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:16:23:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:52:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:17 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 6663
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:20 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:22 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16554
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:51 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16554
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
